"""Date"",""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"""Jun 19, 2017"",""153.40"",""154.29"",""155.58"",""152.41"",""6.54M"",""0.67%"""
"""Jun 16, 2017"",""152.38"",""151.45"",""153.53"",""150.39"",""6.91M"",""0.41%"""
"""Jun 15, 2017"",""151.76"",""149.44"",""152.56"",""147.30"",""7.32M"",""-0.29%"""
"""Jun 14, 2017"",""152.20"",""154.34"",""155.62"",""150.28"",""6.46M"",""-0.34%"""
"""Jun 13, 2017"",""152.72"",""154.38"",""155.68"",""150.13"",""8.48M"",""0.85%"""
"""Jun 12, 2017"",""151.44"",""155.30"",""155.53"",""148.31"",""14.11M"",""-4.17%"""
"""Jun 09, 2017"",""158.03"",""166.27"",""166.27"",""154.50"",""10.29M"",""-4.73%"""
"""Jun 08, 2017"",""165.88"",""166.12"",""166.87"",""164.84"",""3.72M"",""0.16%"""
"""Jun 07, 2017"",""165.61"",""165.60"",""166.40"",""164.41"",""3.35M"",""0.27%"""
"""Jun 06, 2017"",""165.17"",""164.95"",""166.82"",""164.51"",""4.38M"",""0.07%"""
"""Jun 05, 2017"",""165.06"",""165.49"",""165.50"",""163.43"",""3.88M"",""-0.07%"""
"""Jun 02, 2017"",""165.18"",""163.42"",""165.36"",""162.80"",""4.26M"",""1.34%"""
"""Jun 01, 2017"",""162.99"",""163.52"",""163.93"",""161.70"",""3.90M"",""-0.05%"""
"""May 31, 2017"",""163.07"",""163.61"",""164.00"",""160.74"",""5.33M"",""-0.09%"""
"""May 30, 2017"",""163.22"",""163.60"",""164.75"",""162.71"",""4.83M"",""0.49%"""
"""May 26, 2017"",""162.43"",""162.84"",""163.05"",""161.12"",""4.83M"",""-0.38%"""
"""May 25, 2017"",""163.05"",""161.00"",""164.10"",""160.55"",""8.56M"",""3.36%"""
"""May 24, 2017"",""157.75"",""158.35"",""158.48"",""157.17"",""2.99M"",""-0.13%"""
"""May 23, 2017"",""157.95"",""157.75"",""158.31"",""156.80"",""3.37M"",""0.50%"""
"""May 22, 2017"",""157.16"",""157.86"",""158.60"",""156.43"",""3.74M"",""0.09%"""
"""May 19, 2017"",""157.02"",""156.15"",""158.05"",""155.91"",""4.09M"",""0.85%"""
"""May 18, 2017"",""155.70"",""153.61"",""156.89"",""153.24"",""6.80M"",""1.63%"""
"""May 17, 2017"",""153.20"",""158.09"",""158.78"",""153.00"",""8.18M"",""-3.90%"""
